english_name,chinese_name,district_code,district_en,district_zh,gazette_date,gazette_notice,gazette_date_raw
A KUNG KOK SHAN ROAD,亞公角山路,ST,Sha Tin,沙田,1989-02-03,418,32542
A KUNG KOK STREET,亞公角街,ST,Sha Tin,沙田,1993-09-24,3502,34236
A KUNG NGAM ROAD,阿公岩道,E,Eastern,東區,1961-11-10,1974,22595
A KUNG NGAM ROAD,阿公岩道,E,Eastern,東區,1975-07-11,1540,27586
A KUNG NGAM VILLAGE LANE,阿公岩村里,E,Eastern,東區,2007-08-03,5033,39297
A KUNG NGAM VILLAGE ROAD,阿公岩村道,E,Eastern,東區,1975-07-11,1540,27586
A KUNG NGAM VILLAGE ROAD,阿公岩村道,E,Eastern,東區,1997-07-25,385,35636
ABERDEEN MAIN ROAD,香港仔大道,S,Southern,南區,1961-08-04,1335,22497
ABERDEEN PRAYA ROAD,香港仔海傍道,S,Southern,南區,1980-02-15,514,29266
ABERDEEN PRAYA ROAD,香港仔海傍道,S,Southern,南區,1986-07-11,2360,31604
ABERDEEN RESERVOIR ROAD,香港仔水塘道,WC-C&W-S,Wan  Chai / Central  &  Western / Southern,灣仔 / 中西區 / 南區,1984-03-09,710,30750
AIRPORT EXPO BOULEVARD,航展道,Is,Islands,離島,2005-11-11,5907,38667
AIRPORT NORTH INTERCHANGE,機場北交匯處,Is,Islands,離島,1998-01-02,73,35797
AIRPORT ROAD,機場路,Is,Islands,離島,1998-01-02,73,35797
AIRPORT ROAD,機場路,Is,Islands,離島,2019-07-26,4781,43672
AIRPORT ROAD,機場路,Is,Islands,離島,2026-05-22,2981,46164
AIRPORT SOUTH INTERCHANGE,機場南交匯處,Is,Islands,離島,1998-01-02,73,35797
ALBANY ROAD,雅賓利道,C&W,Central  &  Western,中西區,1964-03-13,631,23449
ALBANY ROAD,雅賓利道,C&W,Central  &  Western,中西區,1964-03-13,632,23449
ALBERT PATH,亞厘畢里,C&W,Central  &  Western,中西區,1957-09-27,1327,21090
ALDRICH BAY ROAD,愛秩序灣道,E,Eastern,東區,1987-04-16,1306,31883
ALDRICH STREET,愛秩序街,E,Eastern,東區,1931-05-15,300,11458
ALDRICH STREET,愛秩序街,E,Eastern,東區,1931-07-10,436,11514
ALDRICH STREET,愛秩序街,E,Eastern,東區,1986-03-07,786,31478
ALNWICK ROAD,安域道,KC,Kowloon  City,九龍城,1965-06-25,1572,23918
AMALFI DRIVE,津堤徑,Is,Islands,離島,2012-07-13,4805,41103
AMOY STREET,廈門街,WC,Wan  Chai,灣仔,1915-06-25,283,5655
ANDERSON ROAD,安達臣道,SK-KT,Sai  Kung / Kwun Tong,西貢 / 觀塘,1976-12-10,2757,28104
ANDERSON ROAD,安達臣道,SK-KT,Sai  Kung / Kwun Tong,西貢 / 觀塘,2023-06-02,3377,45079
ANHUI STREET,安徽街,KC,Kowloon  City,九龍城,1935-04-26,334,12900
AP LEI CHAU BRIDGE ROAD,鴨脷洲橋道,S,Southern,南區,1981-02-20,593,29637
AP LEI CHAU BRIDGE ROAD,鴨脷洲橋道,S,Southern,南區,1994-01-14,176,34348
AP LEI CHAU DRIVE,鴨脷洲徑,S,Southern,南區,1989-11-10,3971,32822
AP LEI CHAU PRAYA ROAD,鴨脷洲海旁道,S,Southern,南區,1989-11-10,3971,32822
APLIU STREET,鴨寮街,SSP,Sham  Shui  Po,深水埗,1927-11-25,699,10191
ARGYLE STREET,亞皆老街,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1926-02-12,68,9540
ARGYLE STREET,亞皆老街,KC-YTM,Kowloon  City / Yau Tsim Mong,九龍城 / 油尖旺,1926-04-16,202,9603
