risk,naming_year,naming_date,street_code,english_name,chinese_name,driving_notice,driving_type,driving_event_id,reason
"high","2008","2008-12-05","","Cheung Chau Electric Path","長洲電廠徑","G.N.8315","declaration","2008-12-05|GN8315|0","eGazette PDF parse may be wrong (check notice body)"
"high","2008","2008-10-10","","Fo Hing Street","科興街","G.N.7004","declaration","2008-10-10|GN7004|0","eGazette PDF parse may be wrong (check notice body)"
"high","2008","2008-08-29","","Lam Yu Road","欖裕路","G.N.6060","declaration","2008-08-29|GN6060|0","eGazette PDF parse may be wrong (check notice body)"
"high","2008","2008-10-10","","Nightingale Road","南丁格爾路","G.N.7003","declaration","2008-10-10|GN7003|0","eGazette PDF parse may be wrong (check notice body)"
"high","2008","2008-10-10","","Queen Elizabeth Hospital Path","伊利沙伯醫院徑","G.N.7003","declaration","2008-10-10|GN7003|2","eGazette PDF parse may be wrong (check notice body)"
"high","2008","2008-10-10","","Queen Elizabeth Hospital Road","伊利沙伯醫院路","G.N.7003","declaration","2008-10-10|GN7003|1","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-02-06","","Bel-Air Peak Avenue","貝沙山道","G.N.851","declaration","2009-02-06|GN851|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-06-26","","Choi Ha Road","彩霞道","G.N.4008","declaration","2009-06-26|GN4008|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-18","","Container Port Road South","貨櫃碼頭南路","G.N.7995","declaration","2009-12-18|GN7995|3","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-03-06","","Fung Yuen Road","鳳園路","G.N.1502","declaration","2009-03-06|GN1502|1","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-18","","Hoi Long Path","海浪徑","G.N.7996","declaration","2009-12-18|GN7996|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-04-09","","LOHAS Park Road","康城路","G.N.2232","declaration","2009-04-09|GN2232|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-06-12","","Lung Mun Road","龍門路","G.N.3680","declaration","2009-06-12|GN3680|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-04","","Lung Wo Road","龍和道","G.N.7642","declaration","2009-12-04|GN7642|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-09-04","","Mei Tin Road","美田路","G.N.5553","declaration","2009-09-04|GN5553|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-03-06","","Shan Liu Road","山寮路","G.N.1502","declaration","2009-03-06|GN1502|3","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-09-18","","Shui Fu Road","水庫路","G.N.5906","declaration","2009-09-18|GN5906|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-08-14","","Tat Fuk Road","達福路","G.N.5125","declaration","2009-08-14|GN5125|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-18","","Tsing Sha Highway","青沙公路","G.N.7995","declaration","2009-12-18|GN7995|1","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-18","","Tsing Yi Hong Wan Road","青衣航運路","G.N.7995","declaration","2009-12-18|GN7995|2","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-08-14","","Tung Fuk Road","同福路","G.N.5125","declaration","2009-08-14|GN5125|1","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-03-06","","Tung Tsz Road","洞梓路","G.N.1502","declaration","2009-03-06|GN1502|2","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-06-05","","Wui Man Road","匯民道","G.N.3561","declaration","2009-06-05|GN3561|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-03-20","","Yip Wong Road","業旺路","G.N.1820","declaration","2009-03-20|GN1820|0","eGazette PDF parse may be wrong (check notice body)"
"high","2009","2009-12-18","","Yung Ping Path","雍坪徑","G.N.7994","declaration","2009-12-18|GN7994|1","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-07-16","","Choi Hing Road","彩興路","G.N.4562","declaration","2010-07-16|GN4562|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-07-16","","Choi Wing Lane","彩榮里","G.N.4562","declaration","2010-07-16|GN4562|2","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-07-16","","Choi Wing Road","彩榮路","G.N.4562","declaration","2010-07-16|GN4562|1","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-12-24","","Hoi Tai Street","海堤街","G.N.8237","declaration","2010-12-24|GN8237|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-18","","Kwai Yan Road","葵仁路","G.N.3610","declaration","2010-06-18|GN3610|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-25","","Liu Pok Road","料壆路","G.N.4011","declaration","2010-06-25|GN4011|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-11-19","","Lung Hong Street","龍康街","G.N.7264","declaration","2010-11-19|GN7264|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-08-20","","Lung Wah Street","龍華街","G.N.5350","declaration","2010-08-20|GN5350|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-01-15","","Lung Wui Road","龍匯道","G.N.296","declaration","2010-01-15|GN296|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-18","","Ma Shing Path","馬成徑","G.N.3608","declaration","2010-06-18|GN3608|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-04-09","","Pok Chuen Path","博泉徑","G.N.2046","declaration","2010-04-09|GN2046|1","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-04-09","","Pok Chuen Street","博泉街","G.N.2046","declaration","2010-04-09|GN2046|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-18","","Sai Kwo Road","世歌路","G.N.3609","declaration","2010-06-18|GN3609|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-18","","Sheung Kin Street","常健街","G.N.3611","declaration","2010-06-18|GN3611|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-08-06","","Sheung Kok Shan Road","上角山路","G.N.5076","declaration","2010-08-06|GN5085|10","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-12-02","","Ting Yat Road","汀逸路","G.N.7631","declaration","2010-12-02|GN7631|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-04-09","","To Shek Path","多石徑","G.N.2046","declaration","2010-04-09|GN2046|3","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-04-09","","To Shek Street","多石街","G.N.2046","declaration","2010-04-09|GN2046|2","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-06-25","","Wang Ping Shan South Road","橫平山南路","G.N.4012","declaration","2010-06-25|GN4012|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-02-05","","Wong Kong Wai Road","黃崗圍路","G.N.737","declaration","2010-02-05|GN737|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-12-02","","Yin Kong Road","燕崗路","G.N.7632","declaration","2010-12-02|GN7632|0","eGazette PDF parse may be wrong (check notice body)"
"high","2010","2010-02-05","","Yu On Street","漁安街","G.N.736","declaration","2010-02-05|GN736|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-12-02","","Chai Kek Road","寨乪路","G.N.7901","declaration","2011-12-02|GN7901|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-09-30","","Fu Chung Lane","富忠里","G.N.6435","declaration","2011-09-30|GN6435|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-05-13","","Golden Beach Path","黃金泳灘徑","G.N.2995","declaration","2011-05-13|GN2995|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-11-11","","Kai Pak Ling Road","雞伯嶺路","G.N.7461","declaration","2011-11-11|GN7461|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-02-25","","Legislative Council Road","立法會道","G.N.1313","declaration","2011-02-25|GN1313|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-05-13","","Mei Fai Street","美輝街","G.N.2996","declaration","2011-05-13|GN2996|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-10-14","","School Road","學校路","G.N.6773","declaration","2011-10-14|GN6773|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-10-14","","Tai San Back Street","大新後街","G.N.6773","declaration","2011-10-14|GN6773|1","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-10-14","","Tai Tsoi Yuen Road","大菜園路","G.N.6773","declaration","2011-10-14|GN6773|2","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-02-18","","Tat Mei Road","達美路","G.N.1154","declaration","2011-02-18|GN1154|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-11-11","","Wholesale Market Street","批發市場街","G.N.7460","declaration","2011-11-11|GN7460|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-11-11","","Wun Yiu Road","碗窰路","G.N.7459","declaration","2011-11-11|GN7459|0","eGazette PDF parse may be wrong (check notice body)"
"high","2011","2011-05-13","","Ying Wan Lane","迎運里","G.N.2996","declaration","2011-05-13|GN2996|1","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-08-02","","","牛皮沙街","G.N.4532","declaration","2013-08-02|GN4532|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-11-01","","","嘉敬里","G.N.6570","declaration","2013-11-01|GN6570|0","eGazette PDF parse may be wrong (check notice body)"
"high","2013","2013-02-08","","Ching Yau Road","","G.N.747","declaration","2013-02-08|GN747|0","eGazette PDF parse may be wrong (check notice body)"
