road_key,street_code,english_name,chinese_name,street_type,naming_year,naming_date,government_notice_url_en,government_notice_url_zh,segment_count
code:10311,10311,CLEAR WATER BAY ROAD,清水灣道,Main Road,1947,1947-07-02,/egazette/en/1947-gn543.pdf,,103
code:52563,52563,,,Main Road,,,,,83
code:53119,53119,,,Secondary Road,,,,,77
code:14299,14299,TSING SHA HIGHWAY,青沙公路,Tunnel,,,,,77
code:13922,13922,LIN CHEUNG ROAD,連翔道,Main Road,1998,1998-11-13,/egazette/en/2018-22-48-8969.pdf,,76
code:49240,49240,,,Secondary Road,,,,,75
code:47351,47351,,,Secondary Road,,,,,65
code:11850,11850,SAI SHA ROAD,西沙路,Secondary Road,1984,1984-02-17,/egazette/en/1984-gn459.pdf,/egazette/zh/1984-gn459.pdf,64
code:10332,10332,CONTAINER PORT ROAD SOUTH,貨櫃碼頭南路,Secondary Road,,,,,62
code:40928,40928,,,Secondary Road,,,,,61
code:52890,52890,,,Main Road,,,,,61
code:11308,11308,LUNG CHEUNG ROAD,龍翔道,Main Road,1960,1960-11-11,/egazette/en/1960-gn1713.pdf,/egazette/zh/2018-22-32-6060.pdf,60
code:12690,12690,WATERLOO ROAD,窩打老道,Main Road,1929,1929-06-21,/egazette/en/1929-gn331.pdf,/egazette/zh/1929-gn331.pdf,59
code:10961,10961,KAM TIN ROAD,錦田公路,Main Road,1978,1978-09-29,/egazette/en/1978-gn2481.pdf,,57
code:11143,11143,KWUN TONG ROAD,觀塘道,Main Road,1947,1947-07-02,/egazette/en/1947-gn543.pdf,,57
code:51319,51319,,,Secondary Road,,,,,56
code:10959,10959,KAM SHEUNG ROAD,錦上路,Secondary Road,1982,1982-03-05,/egazette/en/1982-gn755.pdf,/egazette/zh/1982-gn755.pdf,56
code:12131,12131,SOUTH LANTAU ROAD,嶼南道,Main Road,,,,,51
code:11768,11768,POK FU LAM ROAD,薄扶林道,Main Road,,,/egazette/en/1975-gn2327.pdf,,50
code:10741,10741,HIRAM'S HIGHWAY,西貢公路,Main Road,1977,1977-06-10,/egazette/en/1977-gn1311.pdf,/egazette/zh/1977-gn1311.pdf,49
code:12373,12373,TING KOK ROAD,汀角路,Main Road,1970,1970-04-03,/egazette/en/2009-13-10-1502.pdf,/egazette/zh/2009-13-10-1502.pdf,49
code:10369,10369,DEEP BAY ROAD,深灣路,Secondary Road,,,,,47
code:11038,11038,KING'S ROAD,英皇道,Main Road,1935,1935-06-21,/egazette/en/1935-gn490.pdf,/egazette/zh/1935-gn490.pdf,46
code:10886,10886,ISLAND EASTERN CORRIDOR,東區走廊,Highway,1984,1984-08-24,/egazette/en/1984-gn2562.pdf,/egazette/zh/1984-gn2562.pdf,45
code:11149,11149,LAI CHI KOK ROAD,荔枝角道,Main Road,1978,1978-10-13,/egazette/en/2017-21-14-1921.pdf,/egazette/zh/2017-21-14-1921.pdf,45
code:52589,52589,,,Secondary Road,,,,,44
code:11788,11788,PRINCE EDWARD ROAD WEST,太子道西,Main Road,1923,1923-09-28,/egazette/en/1923-gn411.pdf,/egazette/zh/1923-gn411.pdf,43
code:11825,11825,ROUTE TWISK,荃錦公路,Main Road,1977,1977-11-25,/egazette/en/1977-gn2860.pdf,/egazette/zh/1977-gn2860.pdf,43
code:12237,12237,TAI MONG TSAI ROAD,大網仔路,Main Road,1980,1980-12-19,/egazette/en/1980-gn4050.pdf,,43
code:13912,13912,TSING LONG HIGHWAY,青朗公路,Main Road,,,,,42
code:10609,10609,GLOUCESTER ROAD,告士打道,Main Road,1929,1929-06-14,/egazette/en/1929-gn312.pdf,/egazette/zh/1929-gn312.pdf,41
