status,event_id,change_kind,english_name,chinese_name,gazette_date,gazette_notice,notice_no
skipped_covered,,,A KUNG KOK SHAN ROAD,亞公角山路,1989-02-03,418,
skipped_covered,,,A KUNG KOK STREET,亞公角街,1993-09-24,3502,
skipped_covered,,,A KUNG NGAM ROAD,阿公岩道,1961-11-10,1974,
skipped_covered,,,A KUNG NGAM ROAD,阿公岩道,1975-07-11,1540,
skipped_covered,,,A KUNG NGAM VILLAGE LANE,阿公岩村里,2007-08-03,5033,
skipped_covered,,,A KUNG NGAM VILLAGE ROAD,阿公岩村道,1975-07-11,1540,
skipped_covered,,,A KUNG NGAM VILLAGE ROAD,阿公岩村道,1997-07-25,385,
skipped_covered,,,ABERDEEN MAIN ROAD,香港仔大道,1961-08-04,1335,
skipped_covered,,,ABERDEEN PRAYA ROAD,香港仔海傍道,1980-02-15,514,
skipped_covered,,,ABERDEEN PRAYA ROAD,香港仔海傍道,1986-07-11,2360,
skipped_covered,,,ABERDEEN RESERVOIR ROAD,香港仔水塘道,1984-03-09,710,
skipped_covered,,,AIRPORT EXPO BOULEVARD,航展道,2005-11-11,5907,
skipped_covered,,,AIRPORT NORTH INTERCHANGE,機場北交匯處,1998-01-02,73,
skipped_covered,,,AIRPORT ROAD,機場路,1998-01-02,73,
skipped_covered,,,AIRPORT ROAD,機場路,2019-07-26,4781,
skipped_covered,,,AIRPORT ROAD,機場路,2026-05-22,2981,
skipped_covered,,,AIRPORT SOUTH INTERCHANGE,機場南交匯處,1998-01-02,73,
skipped_covered,,,ALBANY ROAD,雅賓利道,1964-03-13,631,
skipped_covered,,,ALBANY ROAD,雅賓利道,1964-03-13,632,
skipped_covered,,,ALBERT PATH,亞厘畢里,1957-09-27,1327,
skipped_covered,,,ALDRICH BAY ROAD,愛秩序灣道,1987-04-16,1306,
skipped_covered,,,ALDRICH STREET,愛秩序街,1931-05-15,300,
skipped_covered,,,ALDRICH STREET,愛秩序街,1931-07-10,436,
skipped_covered,,,ALDRICH STREET,愛秩序街,1986-03-07,786,
skipped_covered,,,ALNWICK ROAD,安域道,1965-06-25,1572,
skipped_covered,,,AMALFI DRIVE,津堤徑,2012-07-13,4805,
skipped_covered,,,AMOY STREET,廈門街,1915-06-25,283,
skipped_covered,,,ANDERSON ROAD,安達臣道,1976-12-10,2757,
