status,match_key,landsd_en,landsd_zh,landsd_district,landsd_date,landsd_gn,our_first_en,our_first_zh,our_first_date,our_first_gn,our_first_event_id,our_first_change_kind,our_latest_date,our_latest_gn,our_latest_event_id,our_latest_change_kind,date_eq_first,gn_eq_first,date_eq_latest,gn_eq_latest,notes
agree_first_only,en_zh:Kowloon City Road|九龍城道,KOWLOON CITY ROAD,九龍城道,KC,1926-04-16,GN202,Kowloon City Road,九龍城道,1926-04-16,GN202,crowd|1926-gn202-to-kwa-wan-road-11063-1926-04-16,declare,1926-06-25,GN342,crowd|1926-gn342-nga-tsin-wai-road-11063-1926-06-25,extend,true,true,false,false,landsd_matches_first_not_latest
agree_first_only,en_zh:Tai Nan West Street|大南西街,TAI NAN WEST STREET,大南西街,SSP,1976-06-18,GN1301,Tai Nan West Street,大南西街,1976-06-18,GN1301,crowd|1976-gn1301-cheung-sha-wan-west-renames-Tai-Nan-West-Street-大南西街-1976-06-18,rename,1976-06-18,GN1302,crowd|1976-gn1302-cheung-sha-wan-new-streets-Tai-Nan-West-Street-大南西街-1976-06-18,extend,true,true,true,false,landsd_matches_first_not_latest
agree_latest,en_zh:A Kung Ngam Road|阿公岩道,A KUNG NGAM ROAD,阿公岩道,E,1975-07-11,GN1540,A Kung Ngam Road,阿公岩道,1975-07-11,GN1540,crowd|1975-gn1540-a-kung-ngam-roads-A-Kung-Ngam-Road-阿公岩道-1975-07-11,declare,1975-07-11,GN1540,crowd|1975-gn1540-a-kung-ngam-roads-A-Kung-Ngam-Road-阿公岩道-1975-07-11,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Aberdeen Main Road|香港仔大道,ABERDEEN MAIN ROAD,香港仔大道,S,1961-08-04,GN1335,Aberdeen Main Road,香港仔大道,1961-08-04,GN1335,crowd|1961-gn1335-island-road-renames-Aberdeen-Main-Road-香港仔大道-1961-08-04,rename,1961-08-04,GN1335,crowd|1961-gn1335-island-road-renames-Aberdeen-Main-Road-香港仔大道-1961-08-04,rename,true,true,true,true,first_equals_latest
agree_latest,en_zh:Aberdeen Reservoir Road|香港仔水塘道,ABERDEEN RESERVOIR ROAD,香港仔水塘道,WC-C&W-S,1984-03-09,GN710,Aberdeen Reservoir Road,香港仔水塘道,1984-03-09,GN710,crowd|1984-gn710-aberdeen-reservoir-Aberdeen-Reservoir-Road-香港仔水塘道-1984-03-09,rename,1984-03-09,GN710,crowd|1984-gn710-aberdeen-reservoir-Aberdeen-Reservoir-Road-香港仔水塘道-1984-03-09,rename,true,true,true,true,first_equals_latest
agree_latest,en:ALBERT PATH,ALBERT PATH,亞厘畢里,C&W,1957-09-27,GN1327,Albert Path,亞厘畢徑,1957-09-27,GN1327,crowd|1957-gn1327-albert-path-Albert-Path-亞厘畢徑-1957-09-27,declare,1957-09-27,GN1327,crowd|1957-gn1327-albert-path-Albert-Path-亞厘畢徑-1957-09-27,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Anhui Street|安徽街,ANHUI STREET,安徽街,KC,1935-04-26,GN334,Anhui Street,安徽街,1935-04-26,GN334,crowd|1935-gn334-kowloon-streets-10020-1935-04-26,declare,1935-04-26,GN334,crowd|1935-gn334-kowloon-streets-10020-1935-04-26,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Apliu Street|鴨寮街,APLIU STREET,鴨寮街,SSP,1927-11-25,GN699,Apliu Street,鴨寮街,1927-11-25,GN699,crowd|1927-gn699-nathan-square-10025-1927-11-25,declare,1927-11-25,GN699,crowd|1927-gn699-nathan-square-10025-1927-11-25,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Arran Street|鴉蘭街,ARRAN STREET,鴉蘭街,YTM,1923-09-28,GN411,Arran Street,鴉蘭街,1923-09-28,GN411,crowd|1923-gn411-cheung-sha-wan-road-10029-1923-09-28,declare,1923-09-28,GN411,crowd|1923-gn411-cheung-sha-wan-road-10029-1923-09-28,declare,true,true,true,true,first_equals_latest
agree_latest,en_zh:Ash Street|槐樹街,ASH STREET,槐樹街,阿公岩道,1927-11-25,GN699,Ash Street,槐樹街,1927-11-25,GN699,crowd|1927-gn699-nathan-square-10033-1927-11-25,declare,1927-11-25,GN699,crowd|1927-gn699-nathan-square-10033-1927-11-25,declare,true,true,true,true,first_equals_latest
agree_latest,en:AU PUI WAN STREET,AU PUI WAN STREET,㘭背灣街,ST,1981-08-14,GN2405,Au Pui Wan Street,坳背灣街,1981-08-14,GN2405,crowd|1981-gn2405-au-pui-wan-Au-Pui-Wan-Street-坳背灣街-1981-08-14,rename,1981-08-14,GN2405,crowd|1981-gn2405-au-pui-wan-Au-Pui-Wan-Street-坳背灣街-1981-08-14,rename,true,true,true,true,first_equals_latest
agree_latest,en_zh:Babington Path|巴丙頓道,BABINGTON PATH,巴丙頓道,C&W,1904-01-29,GN59,Babington Path,巴丙頓道,1904-01-29,GN59,crowd|1904-gn59-victoria-road-renames-10038-1904-01-29,rename,1904-01-29,GN59,crowd|1904-gn59-victoria-road-renames-10038-1904-01-29,rename,true,true,true,true,first_equals_latest
agree_latest,en_zh:Baker Court|必嘉圍,BAKER COURT,必嘉圍,KC,1958-06-27,GN865,Baker Court,必嘉圍,1954-02-19,GN208,crowd|1954-gn208-baker-court-Baker-Court-必嘉圍-1954-02-19,declare,1958-06-27,GN865,crowd|1958-gn865-major-streets-Baker-Court-必嘉圍-1958-06-27,declare,false,false,true,true,our_event_count=3
agree_latest,en_zh:Bank Street|銀行街,BANK STREET,銀行街,C&W,1974-07-19,GN1822,Bank Street,銀行街,1974-07-19,GN1822,crowd|1974-gn1822-10042-1974-07-19,declare,1974-07-19,GN1822,crowd|1974-gn1822-10042-1974-07-19,declare,true,true,true,true,first_equals_latest
